path,namespace,methods
/wc-admin/marketing/overview/activate-plugin,wc-admin,POST,PUT,PATCH
/wc-admin/marketing/overview/installed-plugins,wc-admin,GET
/wc-admin/marketing/recommendations,wc-admin,GET
/wc-admin/marketing/channels,wc-admin,GET
/wc-admin/marketing/campaigns,wc-admin,GET
/wc-admin/marketing/campaign-types,wc-admin,GET
/wc-admin/options,wc-admin,GET,POST,PUT,PATCH
/wc-admin/payment-gateway-suggestions,wc-admin,GET
/wc-admin/payment-gateway-suggestions/dismiss,wc-admin,POST
/wc-admin/themes,wc-admin,POST,PUT,PATCH
/wc-admin/plugins/install,wc-admin,POST,PUT,PATCH
/wc-admin/plugins/install/status,wc-admin,GET
/wc-admin/plugins/install/status/(?P<job_id>[a-z0-9_\-]+),wc-admin,GET
/wc-admin/plugins/active,wc-admin,GET
/wc-admin/plugins/installed,wc-admin,GET
/wc-admin/plugins/activate,wc-admin,POST,PUT,PATCH
/wc-admin/plugins/activate/status,wc-admin,GET
/wc-admin/plugins/activate/status/(?P<job_id>[a-z0-9_\-]+),wc-admin,GET
/wc-admin/plugins/connect-jetpack,wc-admin,GET
/wc-admin/plugins/request-wccom-connect,wc-admin,POST
/wc-admin/plugins/finish-wccom-connect,wc-admin,POST
/wc-admin/plugins/connect-wcpay,wc-admin,POST,PUT,PATCH
/wc-admin/plugins/connect-square,wc-admin,POST,PUT,PATCH
/wc-admin/onboarding/free-extensions,wc-admin,GET
/wc-admin/onboarding/product-types,wc-admin,GET
/wc-admin/onboarding/profile,wc-admin,GET,POST,PUT,PATCH
/wc-admin/onboarding/profile/experimental_get_email_prefill,wc-admin,GET
/wc-admin/onboarding/profile/progress,wc-admin,GET
/wc-admin/onboarding/profile/progress/core-profiler/complete,wc-admin,POST,PUT,PATCH
/wc-admin/onboarding/tasks/import_sample_products,wc-admin,POST
/wc-admin/onboarding/tasks/create_homepage,wc-admin,POST
/wc-admin/onboarding/tasks/create_product_from_template,wc-admin,POST
/wc-admin/onboarding/tasks,wc-admin,GET,POST
/wc-admin/onboarding/tasks/(?P<id>[a-z0-9_\-]+)/hide,wc-admin,POST,PUT,PATCH
/wc-admin/onboarding/tasks/(?P<id>[a-z0-9_\-]+)/unhide,wc-admin,POST,PUT,PATCH
/wc-admin/onboarding/tasks/(?P<id>[a-z0-9_\-]+)/dismiss,wc-admin,POST,PUT,PATCH
/wc-admin/onboarding/tasks/(?P<id>[a-z0-9_\-]+)/undo_dismiss,wc-admin,POST,PUT,PATCH
/wc-admin/onboarding/tasks/(?P<id>[a-z0-9_-]+)/snooze,wc-admin,POST
/wc-admin/onboarding/tasks/(?P<id>[a-z0-9_\-]+)/action,wc-admin,POST,PUT,PATCH
/wc-admin/onboarding/tasks/(?P<id>[a-z0-9_\-]+)/undo_snooze,wc-admin,POST,PUT,PATCH
/wc-admin/onboarding/themes/install,wc-admin,POST,PUT,PATCH
/wc-admin/onboarding/themes/activate,wc-admin,POST,PUT,PATCH
/wc-admin/onboarding/themes/recommended,wc-admin,GET
/wc-admin/onboarding/plugins/install-and-activate-async,wc-admin,POST
/wc-admin/onboarding/plugins/install-and-activate,wc-admin,POST
/wc-admin/onboarding/plugins/scheduled-installs/(?P<job_id>\w+),wc-admin,GET
/wc-admin/onboarding/plugins/jetpack-authorization-url,wc-admin,GET
/wc-admin/onboarding/products,wc-admin,POST
/wc-admin/mobile-app/send-magic-link,wc-admin,GET
/wc-admin/mobile-app,wc-admin,GET
/wc-admin/shipping-partner-suggestions,wc-admin,GET
/wc-admin/ai/store-title,wc-admin,POST
/wc-admin/ai/business-description,wc-admin,POST
/wc-admin/ai/store-info,wc-admin,GET
/wc-admin/ai/images,wc-admin,POST
/wc-admin/ai/patterns,wc-admin,POST,DELETE
/wc-admin/ai/product,wc-admin,POST
/wc-admin/launch-your-store/initialize-coming-soon,wc-admin,POST
/wc-admin/launch-your-store/update-survey-status,wc-admin,POST
/wc-admin/launch-your-store/survey-completed,wc-admin,GET
/wc-admin/launch-your-store/woopayments/test-orders/count,wc-admin,GET
/wc-admin/launch-your-store/woopayments/test-orders,wc-admin,DELETE
/wc-analytics,wc-analytics,GET
/wc-analytics/customers,wc-analytics,GET
/wc-analytics/customers/(?P<id>[\d-]+),wc-analytics,GET
/wc-analytics/leaderboards,wc-analytics,GET
/wc-analytics/leaderboards/allowed,wc-analytics,GET
/wc-analytics/leaderboards/(?P<leaderboard>\w+),wc-analytics,GET
/wc-analytics/reports,wc-analytics,GET
/wc-analytics/reports/import,wc-analytics,POST,PUT,PATCH
/wc-analytics/reports/import/cancel,wc-analytics,POST,PUT,PATCH
/wc-analytics/reports/import/delete,wc-analytics,POST,PUT,PATCH
/wc-analytics/reports/import/status,wc-analytics,GET
/wc-analytics/reports/import/totals,wc-analytics,GET
/wc-analytics/reports/(?P<type>[a-z]+)/export,wc-analytics,POST,PUT,PATCH
/wc-analytics/reports/(?P<type>[a-z]+)/export/(?P<export_id>[a-z0-9]+)/status,wc-analytics,GET
/wc-analytics/reports/products,wc-analytics,GET
/wc-analytics/reports/variations,wc-analytics,GET
/wc-analytics/reports/products/stats,wc-analytics,GET
/wc-analytics/reports/variations/stats,wc-analytics,GET
/wc-analytics/reports/revenue/stats,wc-analytics,GET
/wc-analytics/reports/orders,wc-analytics,GET
/wc-analytics/reports/orders/stats,wc-analytics,GET
/wc-analytics/reports/categories,wc-analytics,GET
/wc-analytics/reports/taxes,wc-analytics,GET
/wc-analytics/reports/taxes/stats,wc-analytics,GET
/wc-analytics/reports/coupons,wc-analytics,GET
/wc-analytics/reports/coupons/stats,wc-analytics,GET
/wc-analytics/reports/stock,wc-analytics,GET
/wc-analytics/reports/stock/stats,wc-analytics,GET
/wc-analytics/reports/downloads,wc-analytics,GET
/wc-analytics/reports/downloads/stats,wc-analytics,GET
/wc-analytics/reports/customers,wc-analytics,GET
/wc-analytics/reports/customers/stats,wc-analytics,GET
/wc-analytics/reports/performance-indicators,wc-analytics,GET
/wc-analytics/reports/performance-indicators/allowed,wc-analytics,GET
/wc-analytics/admin/notes,wc-analytics,GET,GET
/wc-analytics/admin/notes/(?P<id>[\d-]+),wc-analytics,GET,POST,PUT,PATCH,GET,POST,PUT,PATCH
/wc-analytics/admin/notes/delete/(?P<id>[\d-]+),wc-analytics,DELETE,DELETE
/wc-analytics/admin/notes/delete/all,wc-analytics,DELETE,DELETE
/wc-analytics/admin/notes/tracker/(?P<note_id>[\d-]+)/user/(?P<user_id>[\d-]+),wc-analytics,GET,GET
/wc-analytics/admin/notes/update,wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
/wc-analytics/admin/notes/experimental-activate-promo/(?P<promo_note_name>[\w-]+),wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
/wc-analytics/admin/notes/(?P<note_id>[\d-]+)/action/(?P<action_id>[\d-]+),wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
/wc-analytics/coupons,wc-analytics,GET,POST,GET,POST
/wc-analytics/coupons/(?P<id>[\d]+),wc-analytics,GET,POST,PUT,PATCH,DELETE,GET,POST,PUT,PATCH,DELETE
/wc-analytics/coupons/batch,wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
/wc-analytics/data,wc-analytics,GET,GET
/wc-analytics/data/countries/locales,wc-analytics,GET,GET
/wc-analytics/data/countries,wc-analytics,GET,GET
/wc-analytics/data/countries/(?P<location>[\w-]+),wc-analytics,GET,GET
/wc-analytics/data/download-ips,wc-analytics,GET,GET
/wc-analytics/orders,wc-analytics,GET,POST,GET,POST
/wc-analytics/orders/(?P<id>[\d]+),wc-analytics,GET,POST,PUT,PATCH,DELETE,GET,POST,PUT,PATCH,DELETE
/wc-analytics/orders/batch,wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
/wc-analytics/products,wc-analytics,GET,POST,GET,POST
/wc-analytics/products/(?P<id>[\d]+),wc-analytics,GET,POST,PUT,PATCH,DELETE,GET,POST,PUT,PATCH,DELETE
/wc-analytics/products/batch,wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
/wc-analytics/products/suggested-products,wc-analytics,GET,GET
/wc-analytics/products/(?P<id>[\d]+)/duplicate,wc-analytics,POST,POST
/wc-analytics/products/attributes,wc-analytics,GET,POST,GET,POST
/wc-analytics/products/attributes/(?P<id>[\d]+),wc-analytics,GET,POST,PUT,PATCH,DELETE,GET,POST,PUT,PATCH,DELETE
