route,methods,arg,required,type,enum,default,description,format,pattern
/,GET,context,False,,,view,,,
/batch/v1,POST,validation,False,string,"require-all-validate,normal",normal,,,
/batch/v1,POST,requests,True,array,,,,,
/oembed/1.0,GET,namespace,False,,,oembed/1.0,,,
/oembed/1.0,GET,context,False,,,view,,,
/oembed/1.0/embed,GET,url,True,string,,,The URL of the resource for which to fetch oEmbed data.,uri,
/oembed/1.0/embed,GET,format,False,,,json,,,
/oembed/1.0/embed,GET,maxwidth,False,,,600,,,
/oembed/1.0/proxy,GET,url,True,string,,,The URL of the resource for which to fetch oEmbed data.,uri,
/oembed/1.0/proxy,GET,format,False,string,"json,xml",json,The oEmbed format to use.,,
/oembed/1.0/proxy,GET,maxwidth,False,integer,,600,The maximum width of the embed frame in pixels.,,
/oembed/1.0/proxy,GET,maxheight,False,integer,,,The maximum height of the embed frame in pixels.,,
/oembed/1.0/proxy,GET,discover,False,boolean,,True,Whether to perform an oEmbed discovery request for unsanctioned providers.,,
/redirection/v1,GET,namespace,False,,,redirection/v1,,,
/redirection/v1,GET,context,False,,,view,,,
/redirection/v1/redirect,GET,filterBy,False,,,,Field to filter by,,
/redirection/v1/redirect,GET,orderby,False,string,"source,last_count,last_access,position,id,",,Field to order results by,,
/redirection/v1/redirect,GET,direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/redirect,GET,per_page,False,integer,,25,Number of results per page,,
/redirection/v1/redirect,GET,page,False,integer,,0,Page offset,,
/redirection/v1/redirect,"POST,PUT,PATCH",filterBy,False,,,,Field to filter by,,
/redirection/v1/redirect,"POST,PUT,PATCH",orderby,False,string,"source,last_count,last_access,position,id,",,Field to order results by,,
/redirection/v1/redirect,"POST,PUT,PATCH",direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/redirect,"POST,PUT,PATCH",per_page,False,integer,,25,Number of results per page,,
/redirection/v1/redirect,"POST,PUT,PATCH",page,False,integer,,0,Page offset,,
/redirection/v1/redirect/post,GET,text,True,string,,,Text to match,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",filterBy,False,,,,Field to filter by,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",orderby,False,string,"source,last_count,last_access,position,id,",,Field to order results by,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",per_page,False,integer,,25,Number of results per page,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",page,False,integer,,0,Page offset,,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",global,False,boolean,,,"Apply bulk action globally, as per filters",,
/redirection/v1/bulk/redirect/(?P<bulk>delete|enable|disable|reset),"POST,PUT,PATCH",items,False,array,,,Array of IDs to perform action on,,
/redirection/v1/group,GET,filterBy,False,,,,Field to filter by,,
/redirection/v1/group,GET,orderby,False,string,"name,id,",,Field to order results by,,
/redirection/v1/group,GET,direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/group,GET,per_page,False,integer,,25,Number of results per page,,
/redirection/v1/group,GET,page,False,integer,,0,Page offset,,
/redirection/v1/group,"POST,PUT,PATCH",filterBy,False,,,,Field to filter by,,
/redirection/v1/group,"POST,PUT,PATCH",orderby,False,string,"name,id,",,Field to order results by,,
/redirection/v1/group,"POST,PUT,PATCH",direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/group,"POST,PUT,PATCH",per_page,False,integer,,25,Number of results per page,,
/redirection/v1/group,"POST,PUT,PATCH",page,False,integer,,0,Page offset,,
/redirection/v1/group,"POST,PUT,PATCH",moduleId,True,integer,,,Module ID,,
/redirection/v1/group,"POST,PUT,PATCH",name,True,string,,,Group name,,
/redirection/v1/group,"POST,PUT,PATCH",status,False,,,,Status of the group,,
/redirection/v1/group/(?P<id>[\d]+),"POST,PUT,PATCH",moduleId,True,integer,,,Module ID,,
/redirection/v1/group/(?P<id>[\d]+),"POST,PUT,PATCH",name,True,string,,,Group name,,
/redirection/v1/group/(?P<id>[\d]+),"POST,PUT,PATCH",status,False,,,,Status of the group,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",filterBy,False,,,,Field to filter by,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",orderby,False,string,"name,id,",,Field to order results by,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",per_page,False,integer,,25,Number of results per page,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",page,False,integer,,0,Page offset,,
/redirection/v1/bulk/group/(?P<bulk>delete|enable|disable),"POST,PUT,PATCH",items,False,array,,,Comma separated list of item IDs to perform action on,,
/redirection/v1/log,GET,filterBy,False,,,,Field to filter by,,
/redirection/v1/log,GET,orderby,False,string,"url,ip,total,count,",,Field to order results by,,
/redirection/v1/log,GET,direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/log,GET,per_page,False,integer,,25,Number of results per page,,
/redirection/v1/log,GET,page,False,integer,,0,Page offset,,
/redirection/v1/bulk/log/(?P<bulk>delete),"POST,PUT,PATCH",filterBy,False,,,,Field to filter by,,
/redirection/v1/bulk/log/(?P<bulk>delete),"POST,PUT,PATCH",orderby,False,string,"url,ip,total,count,",,Field to order results by,,
/redirection/v1/bulk/log/(?P<bulk>delete),"POST,PUT,PATCH",direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/bulk/log/(?P<bulk>delete),"POST,PUT,PATCH",per_page,False,integer,,25,Number of results per page,,
/redirection/v1/bulk/log/(?P<bulk>delete),"POST,PUT,PATCH",page,False,integer,,0,Page offset,,
/redirection/v1/bulk/log/(?P<bulk>delete),"POST,PUT,PATCH",items,False,array,,,Comma separated list of item IDs to perform action on,,
/redirection/v1/404,GET,filterBy,False,,,,Field to filter by,,
/redirection/v1/404,GET,orderby,False,string,"url,ip,total,count,",,Field to order results by,,
/redirection/v1/404,GET,direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/404,GET,per_page,False,integer,,25,Number of results per page,,
/redirection/v1/404,GET,page,False,integer,,0,Page offset,,
/redirection/v1/bulk/404/(?P<bulk>delete),"POST,PUT,PATCH",filterBy,False,,,,Field to filter by,,
/redirection/v1/bulk/404/(?P<bulk>delete),"POST,PUT,PATCH",orderby,False,string,"url,ip,total,count,",,Field to order results by,,
/redirection/v1/bulk/404/(?P<bulk>delete),"POST,PUT,PATCH",direction,False,string,"asc,desc",desc,Direction of ordered results,,
/redirection/v1/bulk/404/(?P<bulk>delete),"POST,PUT,PATCH",per_page,False,integer,,25,Number of results per page,,
/redirection/v1/bulk/404/(?P<bulk>delete),"POST,PUT,PATCH",page,False,integer,,0,Page offset,,
/redirection/v1/bulk/404/(?P<bulk>delete),"POST,PUT,PATCH",items,False,array,,,Comma separated list of item IDs to perform action on,,
/redirection/v1/plugin,"POST,PUT,PATCH",name,False,string,,,Name,,
/redirection/v1/plugin,"POST,PUT,PATCH",value,False,string,,,Value,,
/redirection/v1/plugin/data,"POST,PUT,PATCH",upgrade,False,string,"stop,skip,retry",,Upgrade parameter,,
/sliderrevolution,GET,namespace,False,,,sliderrevolution,,,
/sliderrevolution,GET,context,False,,,view,,,
/string-locator/v1,GET,namespace,False,,,string-locator/v1,,,
/string-locator/v1,GET,context,False,,,view,,,
/wc/v3,GET,namespace,False,,,wc/v3,,,
/wc/v3,GET,context,False,,,view,,,
/wc/v3/marketplace/subscriptions/connect,POST,product_key,True,string,,,,,
/wc/v3/marketplace/subscriptions/disconnect,POST,product_key,True,string,,,,,
/wc/v3/marketplace/subscriptions/activate,POST,product_key,True,string,,,,,
/wc/v3/marketplace/subscriptions/install-url,GET,product_key,True,string,,,,,
/wc/v3/marketplace/create-order,POST,product_id,True,,,,,,
/yoast/v1,GET,namespace,False,,,yoast/v1,,,
/yoast/v1,GET,context,False,,,view,,,
/yoast/v1/file_size,GET,url,True,string,,,The url to retrieve,,
/yoast/v1/new-content-type-visibility/dismiss-post-type,POST,postTypeName,False,,,,,,
/yoast/v1/new-content-type-visibility/dismiss-taxonomy,POST,taxonomyName,False,,,,,,
/yoast/v1/introductions/(?P<introduction_id>[\w-]+)/seen,POST,introduction_id,True,string,,,,,
/yoast/v1/introductions/(?P<introduction_id>[\w-]+)/seen,POST,is_seen,False,bool,,True,,,
/yoast/v1/wistia_embed_permission,POST,value,False,bool,,True,,,
/yoast/v1/alerts/dismiss,POST,key,True,,,,,,
/yoast/v1/configuration/site_representation,POST,company_or_person,True,string,"company,person",,,,
/yoast/v1/configuration/site_representation,POST,company_name,False,string,,,,,
/yoast/v1/configuration/site_representation,POST,company_logo,False,string,,,,,
/yoast/v1/configuration/site_representation,POST,company_logo_id,False,integer,,,,,
/yoast/v1/configuration/site_representation,POST,person_logo,False,string,,,,,
/yoast/v1/configuration/site_representation,POST,person_logo_id,False,integer,,,,,
/yoast/v1/configuration/site_representation,POST,company_or_person_user_id,False,integer,,,,,
/yoast/v1/configuration/site_representation,POST,description,False,string,,,,,
/yoast/v1/configuration/social_profiles,POST,facebook_site,False,string,,,,,
/yoast/v1/configuration/social_profiles,POST,twitter_site,False,string,,,,,
/yoast/v1/configuration/social_profiles,POST,other_social_urls,False,array,,,,,
/yoast/v1/configuration/check_capability,GET,user_id,True,,,,,,
/yoast/v1/configuration/enable_tracking,POST,tracking,True,boolean,,,,,
/yoast/v1/configuration/save_configuration_state,POST,finishedSteps,True,array,,,,,
/yoast/v1/get_head,GET,url,True,,,,,,
/yoast/v1/integrations/set_active,POST,active,True,boolean,,,,,
/yoast/v1/integrations/set_active,POST,integration,True,string,,,,,
/yoast/v1/semrush/authenticate,POST,code,True,,,,,,
/yoast/v1/semrush/country_code,POST,country_code,True,,,,,,
/yoast/v1/semrush/related_keyphrases,GET,keyphrase,True,,,,,,
/yoast/v1/semrush/related_keyphrases,GET,country_code,True,,,,,,
/yoast/v1/wincher/authenticate,POST,code,True,,,,,,
/yoast/v1/wincher/authenticate,POST,websiteId,True,,,,,,
/yoast/v1/wincher/keyphrases/track,POST,keyphrases,True,,,,,,
/yoast/v1/wincher/keyphrases,POST,keyphrases,False,,,,,,
/yoast/v1/wincher/keyphrases,POST,permalink,False,,,,,,
/yoast/v1/wincher/keyphrases,POST,startAt,False,,,,,,
/jetpack/v4,GET,namespace,False,,,jetpack/v4,,,
/jetpack/v4,GET,context,False,,,view,,,
/jetpack/v4/verify_xmlrpc_error,POST,nonce,True,string,,,,,
/jetpack/v4/connection,"POST,PUT,PATCH",isActive,True,,,,Set to false will trigger the site to disconnect.,,
/jetpack/v4/connection/register,"POST,PUT,PATCH",from,False,string,,,Indicates where the registration action was triggered for tracking/segmentation purposes,,
/jetpack/v4/connection/register,"POST,PUT,PATCH",registration_nonce,False,string,,,The registration nonce,,
/jetpack/v4/connection/register,"POST,PUT,PATCH",redirect_uri,False,string,,,URI of the admin page where the user should be redirected after connection flow,,
/jetpack/v4/connection/register,"POST,PUT,PATCH",plugin_slug,False,string,,,Indicates from what plugin the request is coming from,,
/jetpack/v4/connection/authorize_url,GET,redirect_uri,False,string,,,URI of the admin page where the user should be redirected after connection flow,,
/jetpack/v4/user-token,"POST,PUT,PATCH",user_token,True,string,,,New user token,,
/jetpack/v4/user-token,"POST,PUT,PATCH",is_connection_owner,False,boolean,,,Is connection owner,,
/jetpack/v4/connection/owner,"POST,PUT,PATCH",owner,True,integer,,,New owner,,
/jetpack/v4/heartbeat/data,GET,prefix,False,string,,,Prefix to add before the stats identifiers.,,
/wc-admin,GET,namespace,False,,,wc-admin,,,
/wc-admin,GET,context,False,,,view,,,
/wc-admin/marketing/recommended,GET,per_page,False,integer,,10,Maximum number of items to be returned in result set.,,
/wc-admin/marketing/recommended,GET,category,False,string,,,,,
/wc-admin/marketing/knowledge-base,GET,category,False,string,,,,,
/wc-admin/marketing/overview/activate-plugin,"POST,PUT,PATCH",plugin,True,string,,,,,
/wc-admin/marketing/recommendations,GET,category,True,string,"channels,extensions",,,,
/wc-admin/marketing/campaigns,GET,context,False,string,view,,Scope under which the request is made; determines fields present in response.,,
/wc-admin/marketing/campaigns,GET,page,False,integer,,1,Current page of the collection.,,
/wc-admin/marketing/campaigns,GET,per_page,False,integer,,10,Maximum number of items to be returned in result set.,,
/wc-admin/marketing/campaign-types,GET,context,False,string,view,,Scope under which the request is made; determines fields present in response.,,
/wc-admin/marketing/campaign-types,GET,page,False,integer,,1,Current page of the collection.,,
/wc-admin/marketing/campaign-types,GET,per_page,False,integer,,10,Maximum number of items to be returned in result set.,,
/wc-admin/payment-gateway-suggestions,GET,force_default_suggestions,False,boolean,,,Return the default payment suggestions when woocommerce_show_marketplace_suggestions and woocommerce_setting_payments_recommendations_hidden options are set to no,,
/wc-admin/themes,"POST,PUT,PATCH",context,False,string,"view,edit",view,Scope under which the request is made; determines fields present in response.,,
/wc-admin/themes,"POST,PUT,PATCH",pluginzip,False,file,,,A zip file of the theme to be uploaded.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",completed,False,boolean,,,Whether or not the profile was completed.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",skipped,False,boolean,,,Whether or not the profile was skipped.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",industry,False,array,,,Industry.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",product_types,False,array,,,Types of products sold.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",product_count,False,string,"0,1-10,11-100,101-1000,1000+",,Number of products to be added.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",selling_venues,False,string,"no,other,brick-mortar,brick-mortar-other,other-woocommerce",,Other places the store is selling products.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",number_employees,False,string,"1,<10,10-50,50-250,+250,not specified",,Number of employees of the store.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",revenue,False,string,"none,up-to-2500,2500-10000,10000-50000,50000-250000,more-than-250000,rather-not-say",,Current annual revenue of the store.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",other_platform,False,string,"shopify,bigcommerce,magento,wix,amazon,ebay,etsy,squarespace,other",,Name of other platform used to sell.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",other_platform_name,False,string,,,Name of other platform used to sell (not listed).,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",business_extensions,False,array,,,Extra business extensions to install.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",theme,False,string,,,Selected store theme.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",setup_client,False,boolean,,,Whether or not this store was setup for a client.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",wccom_connected,False,boolean,,,Whether or not the store was connected to WooCommerce.com during the extension flow.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",is_agree_marketing,False,boolean,,,Whether or not this store agreed to receiving marketing contents from WooCommerce.com.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",store_email,False,string,,,Store email address.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",is_store_country_set,False,boolean,,,Whether or not this store country is set via onboarding profiler.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",is_plugins_page_skipped,False,boolean,,,Whether or not plugins step in core profiler was skipped.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",core_profiler_completed_steps,False,array,,,Completed steps in core profiler.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",business_choice,False,string,,,Business choice.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",selling_online_answer,False,string,,,Selling online answer.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",selling_platforms,False,"array,null",,,Selling platforms.,,
/wc-admin/onboarding/profile,"POST,PUT,PATCH",context,False,string,view,view,Scope under which the request is made; determines fields present in response.,,
/wc-admin/onboarding/profile/progress/core-profiler/complete,"POST,PUT,PATCH",step,True,string,"intro-opt-in,skip-guided-setup,user-profile,business-info,plugins,intro-builder,skip-guided-setup",,The Core Profiler step to mark as complete.,,
/wc-admin/onboarding/tasks/create_product_from_template,POST,template_name,True,string,,,Product template name.,,
/wc-admin/onboarding/tasks,GET,ids,False,array,,,Optional parameter to get only specific task lists by id.,,
/wc-admin/onboarding/tasks,POST,ids,False,array,,,Optional parameter to get only specific task lists by id.,,
/wc-admin/onboarding/tasks,POST,extended_tasks,False,array,,,List of extended deprecated tasks from the client side filter.,,
/wc-admin/onboarding/tasks/(?P<id>[a-z0-9_-]+)/snooze,POST,duration,False,string,,,Time period to snooze the task.,,
/wc-admin/onboarding/tasks/(?P<id>[a-z0-9_-]+)/snooze,POST,task_list_id,False,string,,,Optional parameter to query specific task list.,,
/wc-admin/onboarding/themes/recommended,GET,industry,False,string,,,Limits the results to themes relevant for this industry (optional),,
/wc-admin/onboarding/themes/recommended,GET,currency,False,string,"USD,AUD,CAD,EUR,GBP",USD,"Returns pricing in this currency (optional, default: USD)",,
/wc-admin/onboarding/plugins/install-and-activate-async,POST,plugins,True,array,,,A list of plugins to install,,
/wc-admin/onboarding/plugins/jetpack-authorization-url,GET,redirect_url,True,string,,,The URL to redirect to after authorization,,
/wc-admin/onboarding/plugins/jetpack-authorization-url,GET,from,False,string,,woocommerce-onboarding,from value for the jetpack authorization page,,
/wc-admin/shipping-partner-suggestions,GET,force_default_suggestions,False,boolean,,,Return the default shipping partner suggestions when woocommerce_show_marketplace_suggestions option is set to no,,
/wc-admin/ai/store-title,POST,business_description,False,string,,,The business description for a given store.,,
/wc-admin/ai/business-description,POST,business_description,False,string,,,The business description for a given store.,,
/wc-admin/ai/images,POST,business_description,False,string,,,The business description for a given store.,,
/wc-admin/ai/patterns,POST,business_description,False,string,,,The business description for a given store.,,
/wc-admin/ai/patterns,POST,images,False,object,,,The images for a given store.,,
/wc-admin/ai/product,POST,products_information,False,object,,,Data generated by AI for updating dummy products.,,
/wc-admin/ai/product,POST,last_product,False,boolean,,,Whether the product being updated is the last one in the loop,,
/wc-admin/launch-your-store/update-survey-status,POST,status,False,string,"yes,no",,,,
/wc-analytics,GET,namespace,False,,,wc-analytics,,,
/wc-analytics,GET,context,False,,,view,,,
/wc-analytics/customers,GET,context,False,string,"view,edit",view,Scope under which the request is made; determines fields present in response.,,
/wc-analytics/customers,GET,page,False,integer,,1,Current page of the collection.,,
/wc-analytics/customers,GET,per_page,False,integer,,10,Maximum number of items to be returned in result set.,,
/wc-analytics/customers,GET,after,False,string,,,Limit response to resources published after a given ISO8601 compliant date.,date-time,
/wc-analytics/customers,GET,before,False,string,,,Limit response to resources published before a given ISO8601 compliant date.,date-time,
/wc-analytics/customers,GET,order,False,string,"asc,desc",desc,Order sort attribute ascending or descending.,,
/wc-analytics/customers,GET,orderby,False,string,"username,name,country,city,state,postcode,date_registered,date_last_active,orders_count,total_spend,avg_order_value",date_registered,Sort collection by object attribute.,,
/wc-analytics/customers,GET,force_cache_refresh,False,boolean,,,Force retrieval of fresh data instead of from the cache.,,
/wc-analytics/customers,GET,registered_before,False,string,,,Limit response to objects registered before (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers,GET,registered_after,False,string,,,Limit response to objects registered after (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers,GET,match,False,string,"all,any",all,"Indicates whether all the conditions should be true for the resulting set, or if any one of them is sufficient. Match affects the following parameters: status_is, status_is_not, product_includes, product_excludes, coupon_includes, coupon_excludes, customer, categories",,
/wc-analytics/customers,GET,search,False,string,,,Limit response to objects with a customer field containing the search term. Searches the field provided by `searchby`.,,
/wc-analytics/customers,GET,searchby,False,string,"name,username,email,all",name,Limit results with `search` and `searchby` to specific fields containing the search term.,,
/wc-analytics/customers,GET,name_includes,False,string,,,Limit response to objects with specific names.,,
/wc-analytics/customers,GET,name_excludes,False,string,,,Limit response to objects excluding specific names.,,
/wc-analytics/customers,GET,username_includes,False,string,,,Limit response to objects with specific usernames.,,
/wc-analytics/customers,GET,username_excludes,False,string,,,Limit response to objects excluding specific usernames.,,
/wc-analytics/customers,GET,email_includes,False,string,,,Limit response to objects including emails.,,
/wc-analytics/customers,GET,email_excludes,False,string,,,Limit response to objects excluding emails.,,
/wc-analytics/customers,GET,country_includes,False,string,,,Limit response to objects with specific countries.,,
/wc-analytics/customers,GET,country_excludes,False,string,,,Limit response to objects excluding specific countries.,,
/wc-analytics/customers,GET,last_active_before,False,string,,,Limit response to objects last active before (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers,GET,last_active_after,False,string,,,Limit response to objects last active after (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers,GET,last_active_between,False,array,,,Limit response to objects last active between two given ISO8601 compliant datetime.,,
/wc-analytics/customers,GET,registered_between,False,array,,,Limit response to objects last active between two given ISO8601 compliant datetime.,,
/wc-analytics/customers,GET,orders_count_min,False,integer,,,Limit response to objects with an order count greater than or equal to given integer.,,
/wc-analytics/customers,GET,orders_count_max,False,integer,,,Limit response to objects with an order count less than or equal to given integer.,,
/wc-analytics/customers,GET,orders_count_between,False,array,,,Limit response to objects with an order count between two given integers.,,
/wc-analytics/customers,GET,total_spend_min,False,number,,,Limit response to objects with a total order spend greater than or equal to given number.,,
/wc-analytics/customers,GET,total_spend_max,False,number,,,Limit response to objects with a total order spend less than or equal to given number.,,
/wc-analytics/customers,GET,total_spend_between,False,array,,,Limit response to objects with a total order spend between two given numbers.,,
/wc-analytics/customers,GET,avg_order_value_min,False,number,,,Limit response to objects with an average order spend greater than or equal to given number.,,
/wc-analytics/customers,GET,avg_order_value_max,False,number,,,Limit response to objects with an average order spend less than or equal to given number.,,
/wc-analytics/customers,GET,avg_order_value_between,False,array,,,Limit response to objects with an average order spend between two given numbers.,,
/wc-analytics/customers,GET,last_order_before,False,string,,,Limit response to objects with last order before (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers,GET,last_order_after,False,string,,,Limit response to objects with last order after (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers,GET,users,False,array,,,Limit result to items with specified user ids.,,
/wc-analytics/customers,GET,filter_empty,False,array,,,Filter out results where any of the passed fields are empty,,
/wc-analytics/customers,GET,include,False,array,,,Limit result to items with specified customer ids.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,id,False,integer,,,Unique ID for the resource.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,context,False,string,"view,edit",view,Scope under which the request is made; determines fields present in response.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,page,False,integer,,1,Current page of the collection.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,per_page,False,integer,,10,Maximum number of items to be returned in result set.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,after,False,string,,,Limit response to resources published after a given ISO8601 compliant date.,date-time,
/wc-analytics/customers/(?P<id>[\d-]+),GET,before,False,string,,,Limit response to resources published before a given ISO8601 compliant date.,date-time,
/wc-analytics/customers/(?P<id>[\d-]+),GET,order,False,string,"asc,desc",desc,Order sort attribute ascending or descending.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,orderby,False,string,"username,name,country,city,state,postcode,date_registered,date_last_active,orders_count,total_spend,avg_order_value",date_registered,Sort collection by object attribute.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,force_cache_refresh,False,boolean,,,Force retrieval of fresh data instead of from the cache.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,registered_before,False,string,,,Limit response to objects registered before (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers/(?P<id>[\d-]+),GET,registered_after,False,string,,,Limit response to objects registered after (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers/(?P<id>[\d-]+),GET,match,False,string,"all,any",all,"Indicates whether all the conditions should be true for the resulting set, or if any one of them is sufficient. Match affects the following parameters: status_is, status_is_not, product_includes, product_excludes, coupon_includes, coupon_excludes, customer, categories",,
/wc-analytics/customers/(?P<id>[\d-]+),GET,search,False,string,,,Limit response to objects with a customer field containing the search term. Searches the field provided by `searchby`.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,searchby,False,string,"name,username,email,all",name,Limit results with `search` and `searchby` to specific fields containing the search term.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,name_includes,False,string,,,Limit response to objects with specific names.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,name_excludes,False,string,,,Limit response to objects excluding specific names.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,username_includes,False,string,,,Limit response to objects with specific usernames.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,username_excludes,False,string,,,Limit response to objects excluding specific usernames.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,email_includes,False,string,,,Limit response to objects including emails.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,email_excludes,False,string,,,Limit response to objects excluding emails.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,country_includes,False,string,,,Limit response to objects with specific countries.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,country_excludes,False,string,,,Limit response to objects excluding specific countries.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,last_active_before,False,string,,,Limit response to objects last active before (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers/(?P<id>[\d-]+),GET,last_active_after,False,string,,,Limit response to objects last active after (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers/(?P<id>[\d-]+),GET,last_active_between,False,array,,,Limit response to objects last active between two given ISO8601 compliant datetime.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,registered_between,False,array,,,Limit response to objects last active between two given ISO8601 compliant datetime.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,orders_count_min,False,integer,,,Limit response to objects with an order count greater than or equal to given integer.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,orders_count_max,False,integer,,,Limit response to objects with an order count less than or equal to given integer.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,orders_count_between,False,array,,,Limit response to objects with an order count between two given integers.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,total_spend_min,False,number,,,Limit response to objects with a total order spend greater than or equal to given number.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,total_spend_max,False,number,,,Limit response to objects with a total order spend less than or equal to given number.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,total_spend_between,False,array,,,Limit response to objects with a total order spend between two given numbers.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,avg_order_value_min,False,number,,,Limit response to objects with an average order spend greater than or equal to given number.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,avg_order_value_max,False,number,,,Limit response to objects with an average order spend less than or equal to given number.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,avg_order_value_between,False,array,,,Limit response to objects with an average order spend between two given numbers.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,last_order_before,False,string,,,Limit response to objects with last order before (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers/(?P<id>[\d-]+),GET,last_order_after,False,string,,,Limit response to objects with last order after (or at) a given ISO8601 compliant datetime.,date-time,
/wc-analytics/customers/(?P<id>[\d-]+),GET,users,False,array,,,Limit result to items with specified user ids.,,
/wc-analytics/customers/(?P<id>[\d-]+),GET,filter_empty,False,array,,,Filter out results where any of the passed fields are empty,,
